address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1Hbdkf5BqsBPjBnjmdCTLiyngZuXeVxo89,5382760,"('2011-02-15', 21)",58,41.875,670,16,67,3645,4095.777778,10463,980,261.49,261.49,16.343125,0.390283582,261.49,0
1GeHMwBRdMgQYeq43qCLNSdfHdkNssBon,5659496,"('2011-06-15', 4)",25,1,25,25,67,12600,15857.09524,70593,1501,60.40591847,60.40591847,2.416236739,2.416236739,60.40591847,0
1iKoLd3bUrXtsh8tkTRYpW8mwJMRa973J,2143862,"('2011-06-03', 8)",8,8,24,3,52,52203,36670.66667,55821,1988,3.65780805,4.69648,1.21926935,0.195686667,4.69648,0
1GhpPWuoYFk6tyB7oEe94QssgU6D9sWyVd,4043133,"('2011-04-25', 12)",10,1,23,23,67,11341.5,11341.5,15578,7105,14.27,14.27,0.620434783,0.620434783,14.27,0
1BubynasDadHrs6eSuNuVgi3w1JQzD3oZT,9569768,"('2011-06-08', 3)",20,2.111111111,19,9,67,11164,19039.875,64122,1403,22.33837954,22.33837954,2.482042171,1.175704186,22.33837954,0
18mbgyvSWozA1k7aE7XBGus4w73xs2yTqs,9593743,"('2011-06-10', 3)",28,1,21,21,67,55478,108528.1429,401873,17364,34.837,34.837,1.658904762,1.658904762,34.837,0
1PfSnNKTdKVCb4n4NLJLUN7Fip79KvotZW,22009710,"('2011-06-10', 16)",61,24.8,248,10,67,16505,134509.8,322459,3683,59.63547634,59.63547634,5.963547634,0.24046563,59.63547634,0
16FuTPaeRSPVxxCnwQmdyx2PQWxX6HWzhQ,7954719,"('2010-12-20', 16)",23,1.818181818,40,22,67,39325,111504.5882,360877,0,139.11,139.11,6.323181818,3.47775,139.11,0
1JGnq6TqWybkoHZJ93nUiQQAEGJ5rucAeJ,84553384,"('2012-07-19', 10)",27,2.142857143,45,21,68,1900,629462.1333,8825526,0,18.95877579,18.95877579,0.902798847,0.421306129,18.95877579,0
19oZVzd3b6ptxbBncTusRkq6VMivXNqCsS,2077905,"('2011-05-14', 6)",20,1.148148148,31,27,53,13704,15534.07692,41106,193,43.81,43.81,1.622592593,1.413225806,43.81,0
16FDvRGtRdQRsumspAY1mg6gqDQZZTtr84,939461,"('2011-05-25', 16)",11,3.230769231,42,13,48,2646,3321.75,8398,268,7.75,7.75,0.596153846,0.18452381,7.75,0
1EhnSN7Lw8zaKyps7CoWLK99Jqpnj6PU89,183099783,"('2011-04-06', 12)",131,2.2625,181,80,67,48160,343570.9818,6286473,0,65.77347361,65.77347361,0.268937111,0.118867231,21.51496884,0
1Am2dJwMxKMcooRUZzADq1yxR46SATTymD,19951839,"('2011-06-04', 3)",35,4.714285714,33,7,65,92598,145171.3333,377144,22225,337.65,337.65,48.23571429,10.23181818,337.65,0
1CEQRKxXCEuWL7M9oDdCstGrrw7L6v4PdQ,10456026,"('2010-09-21', 3)",24,2,20,10,66,4440,506058.3333,2330086,0,5.5,5.5,0.55,0.275,5.5,0
1AzCNpvKbap3oTcdu7xPiDKYrqWPnKdcKa,5381100,"('2011-06-02', 20)",60,1.080357143,121,112,67,8244,15679.29688,82791,49,507.57,507.57,4.531875,4.194793388,507.57,0
1PBBJoaYQUBhfhcrcrNy12dzs4Nw7U4ofz,114768273,"('2012-10-31', 23)",224,41.04347826,944,23,68,34869,62308.125,247405,0,0.34742345,0.34742345,0.015105367,0.000368033,0.34742345,0
1JXt6mcQKLk5CWmLrwW3hkE7tiJc4sg4AW,119666775,"('2013-04-07', 7)",27,1.32,33,25,68,2703,15934.78261,111270,0,43.00331399,43.00331399,1.72013256,1.303130727,43.00331399,0
1HZYXDYDqyiaJBMveo6G9QGbYXuv8RRjv6,8133596,"('2011-05-03', 9)",77,1.037037037,84,81,67,22410,30535.98148,86830,1189,593.7208243,593.7208243,7.32988672,7.068105051,593.7208243,0
18YZ8QyGKRQP8PqLsi5uanMRoLF94qoa2S,473711,"('2011-01-30', 30)",5,1.047619048,22,21,67,3251,6606.818182,38714,0,270.1,270.1,12.86190476,12.27727273,270.1,0
16ZVzsqxwHCq16WzTKJmpmuYh3ic6WiWkv,2760141,"('2011-05-23', 8)",9,25,25,1,52,37633,37633,37633,37633,0.69082547,0.9589082,0.69082547,0.038356328,0.9589082,0
16AdU9fjvb5EEFbam8ae2eGseTdCUxd7pm,70907298,"('2011-06-14', 9)",414,8.035294118,683,85,67,23935.5,40558.51191,253017,0,329.0434319,329.6806668,3.871099198,0.482694973,329.6806668,0
17C1JdyuQ6ykQ3AJYsBYNtc92pnggD1ixZ,60081826,"('2011-06-19', 2)",27,6.25,25,4,61,118097,118097,175176,61018,1.74904114,1.74904114,0.437260285,0.069961646,1.74904114,0
1JuiqMVyDVovkqsGaYkGJuJUQuPQm6YxUs,4881918,"('2011-05-29', 4)",29,1.6875,27,16,67,67954,68668.33333,211703,5761,73.48,73.48,4.5925,2.721481481,73.48,0
1DdmdgYrgYYSTHqRw2PB75xH5UwgAKh8d4,13708244,"('2011-06-18', 8)",82,96,192,2,51,9226,9226,9226,9226,35.30024563,35.87747422,17.65012282,0.186861845,35.87747422,0
13uHRaBHWpjxnYMSkKVJ3Xc1FtZ8bnKv4k,26897692,"('2011-05-18', 4)",26,1,21,21,67,16834,46523,367476,3453,33.85,33.85,1.611904762,1.611904762,33.85,0
1FjP7keMq8vgyi2b7pDeAH4RRJhMCJvbUi,1417087,"('2011-06-08', 7)",17,3.571428571,50,14,65,14682,14934.18182,27683,4070,61.3,61.3,4.378571429,1.226,61.3,0
